timestamp,model,purpose,input_tokens,output_tokens,total_tokens,cache_read_tokens,cache_write_tokens,latency_ms,fallback_triggered,cost_usd
2026-05-21T14:53:52.399690+00:00,openai/gpt-5-nano,api_generate,261,523,784,0,0,8974,False,0.00022225
2026-05-21T14:54:09.184052+00:00,openai/gpt-5-nano,api_generate,258,1063,1321,0,0,14758,False,0.00043809999999999997
2026-05-21T14:54:27.901400+00:00,openai/gpt-5-nano,api_generate,273,1914,2187,0,0,16799,False,0.00077925
2026-05-21T14:54:44.366381+00:00,openai/gpt-5-nano,api_generate,261,1905,2166,0,0,14868,False,0.0007750500000000001
2026-05-21T14:55:04.318475+00:00,openai/gpt-5-nano,api_generate,269,1837,2106,0,0,18519,False,0.0007482500000000001
2026-05-21T14:55:31.669375+00:00,openai/gpt-5-nano,api_generate,274,2620,2894,0,0,25886,False,0.0010617
2026-05-21T14:55:52.114173+00:00,openai/gpt-5-nano,api_generate,249,1333,1582,0,0,18844,False,0.0005456500000000001
2026-05-21T14:56:23.076538+00:00,openai/gpt-5-nano,api_generate,268,1723,1991,0,0,29580,False,0.0007026000000000001
2026-05-21T14:56:36.852281+00:00,openai/gpt-5-nano,api_generate,263,961,1224,0,0,12419,False,0.00039755000000000004
2026-05-21T14:56:40.669060+00:00,openai/gpt-5-nano,api_generate,267,236,503,0,0,2366,False,0.00010775
2026-05-21T15:01:33.175443+00:00,openai/gpt-5-nano,api_generate,261,642,903,0,0,14362,False,0.00026985
2026-05-21T15:01:53.508148+00:00,openai/gpt-5-nano,api_generate,258,974,1232,0,0,18711,False,0.0004025
2026-05-21T15:02:19.822574+00:00,openai/gpt-5-nano,api_generate,273,1794,2067,0,0,24654,False,0.0007312500000000001
2026-05-21T15:02:46.478215+00:00,openai/gpt-5-nano,api_generate,261,1631,1892,0,0,25035,False,0.00066545
2026-05-21T15:03:04.506089+00:00,openai/gpt-5-nano,api_generate,269,1921,2190,0,0,16410,False,0.0007818500000000001
2026-05-21T15:03:32.430875+00:00,openai/gpt-5-nano,api_generate,274,3258,3532,0,0,25695,False,0.0013169
2026-05-21T15:03:55.617567+00:00,openai/gpt-5-nano,api_generate,249,1667,1916,0,0,21241,False,0.0006792500000000001
2026-05-21T15:04:13.953758+00:00,openai/gpt-5-nano,api_generate,268,1617,1885,0,0,17112,False,0.0006602
2026-05-21T15:04:32.829992+00:00,openai/gpt-5-nano,api_generate,263,905,1168,0,0,17273,False,0.00037515000000000004
2026-05-21T15:04:36.447034+00:00,openai/gpt-5-nano,api_generate,267,144,411,0,0,2202,False,7.095e-05
2026-05-21T15:05:17.102898+00:00,openai/gpt-5-nano,api_generate,261,488,749,0,0,24122,False,0.00020825
2026-05-21T15:05:40.138634+00:00,openai/gpt-5-nano,api_generate,258,1158,1416,0,0,21469,False,0.00047609999999999997
2026-05-21T15:06:09.270205+00:00,openai/gpt-5-nano,api_generate,273,1989,2262,0,0,27730,False,0.0008092500000000001
2026-05-21T15:08:13.291169+00:00,openai/gpt-5-nano,api_generate,261,1654,1915,0,0,118654,False,0.0006746500000000001
2026-05-21T15:08:45.312927+00:00,openai/gpt-5-nano,api_generate,269,3067,3336,0,0,29957,False,0.00124025
2026-05-21T15:09:10.810842+00:00,openai/gpt-5-nano,api_generate,274,2031,2305,0,0,24017,False,0.0008261
2026-05-21T15:09:30.168696+00:00,openai/gpt-5-nano,api_generate,249,1405,1654,0,0,17730,False,0.00057445
2026-05-21T15:09:48.601949+00:00,openai/gpt-5-nano,api_generate,268,1613,1881,0,0,16890,False,0.0006586000000000001
2026-05-21T15:10:04.877936+00:00,openai/gpt-5-nano,api_generate,263,638,901,0,0,14803,False,0.00026835000000000004
2026-05-21T15:10:08.861352+00:00,openai/gpt-5-nano,api_generate,267,184,451,0,0,2302,False,8.695e-05
2026-05-21T15:10:25.342062+00:00,openai/gpt-5-nano,api_generate,261,498,759,0,0,8983,False,0.00021224999999999998
2026-05-21T15:10:46.053055+00:00,openai/gpt-5-nano,api_generate,258,1262,1520,0,0,18621,False,0.0005177000000000001
2026-05-21T15:11:11.786177+00:00,openai/gpt-5-nano,api_generate,273,2603,2876,0,0,24115,False,0.00105485
2026-05-21T15:11:32.530527+00:00,openai/gpt-5-nano,api_generate,261,1887,2148,0,0,18533,False,0.00076785
2026-05-21T15:12:01.933081+00:00,openai/gpt-5-nano,api_generate,269,2430,2699,0,0,27559,False,0.00098545
2026-05-21T15:12:32.301718+00:00,openai/gpt-5-nano,api_generate,274,2590,2864,0,0,28515,False,0.0010497
2026-05-21T15:12:55.450418+00:00,openai/gpt-5-nano,api_generate,249,1468,1717,0,0,21502,False,0.00059965
2026-05-21T15:13:31.694663+00:00,openai/gpt-5-nano,api_generate,268,1566,1834,0,0,34692,False,0.0006398
2026-05-21T15:13:51.256066+00:00,openai/gpt-5-nano,api_generate,263,984,1247,0,0,17986,False,0.00040675000000000005
2026-05-21T15:13:55.925569+00:00,openai/gpt-5-nano,api_generate,267,309,576,0,0,3363,False,0.00013695
2026-05-21T15:14:12.251305+00:00,openai/gpt-5-nano,api_generate,261,517,778,0,0,10205,False,0.00021985
2026-05-21T15:14:33.879162+00:00,openai/gpt-5-nano,api_generate,258,1079,1337,0,0,19895,False,0.00044450000000000007
2026-05-21T15:14:53.755945+00:00,openai/gpt-5-nano,api_generate,273,1919,2192,0,0,18430,False,0.00078125
2026-05-21T15:15:12.792155+00:00,openai/gpt-5-nano,api_generate,261,1643,1904,0,0,17673,False,0.0006702500000000001
2026-05-21T15:15:34.117041+00:00,openai/gpt-5-nano,api_generate,269,2138,2407,0,0,19802,False,0.0008686500000000001
2026-05-21T15:15:58.460247+00:00,openai/gpt-5-nano,api_generate,274,2362,2636,0,0,22676,False,0.0009584999999999999
2026-05-21T15:16:13.245139+00:00,openai/gpt-5-nano,api_generate,249,1079,1328,0,0,13072,False,0.0004440500000000001
2026-05-21T15:16:33.794733+00:00,openai/gpt-5-nano,api_generate,268,2190,2458,0,0,19170,False,0.0008894
2026-05-21T15:16:50.263444+00:00,openai/gpt-5-nano,api_generate,263,1240,1503,0,0,14817,False,0.00050915
2026-05-21T15:16:54.428821+00:00,openai/gpt-5-nano,api_generate,267,234,501,0,0,2726,False,0.00010695
2026-05-21T15:17:22.206263+00:00,openai/gpt-5-nano,api_generate,261,701,962,0,0,12657,False,0.00029345000000000006
2026-05-21T15:17:38.135819+00:00,openai/gpt-5-nano,api_generate,258,1254,1512,0,0,14320,False,0.0005145
2026-05-21T15:18:05.106201+00:00,openai/gpt-5-nano,api_generate,273,2045,2318,0,0,25519,False,0.0008316500000000001
2026-05-21T15:18:34.335923+00:00,openai/gpt-5-nano,api_generate,261,2153,2414,0,0,27827,False,0.00087425
2026-05-21T15:19:04.018180+00:00,openai/gpt-5-nano,api_generate,269,2415,2684,0,0,24571,False,0.00097945
2026-05-21T15:19:27.729520+00:00,openai/gpt-5-nano,api_generate,274,2283,2557,0,0,22279,False,0.0009268999999999999
2026-05-21T15:19:48.464661+00:00,openai/gpt-5-nano,api_generate,249,1421,1670,0,0,18852,False,0.00058085
2026-05-21T15:20:12.039174+00:00,openai/gpt-5-nano,api_generate,268,2017,2285,0,0,22083,False,0.0008202000000000001
2026-05-21T15:20:30.226896+00:00,openai/gpt-5-nano,api_generate,263,1122,1385,0,0,16600,False,0.00046195000000000003
2026-05-21T15:20:35.604546+00:00,openai/gpt-5-nano,api_generate,267,174,441,0,0,3905,False,8.295e-05
2026-05-21T15:20:50.513713+00:00,openai/gpt-5-nano,api_generate,261,566,827,0,0,10016,False,0.00023945
2026-05-21T15:21:17.291858+00:00,openai/gpt-5-nano,api_generate,258,1394,1652,0,0,24984,False,0.0005705
2026-05-21T15:21:43.950150+00:00,openai/gpt-5-nano,api_generate,273,2019,2292,0,0,24695,False,0.00082125
2026-05-21T15:22:07.691437+00:00,openai/gpt-5-nano,api_generate,261,1933,2194,0,0,22142,False,0.0007862500000000001
2026-05-21T15:22:33.817682+00:00,openai/gpt-5-nano,api_generate,269,2131,2400,0,0,22698,False,0.0008658500000000001
2026-05-21T15:22:58.930167+00:00,openai/gpt-5-nano,api_generate,274,3349,3623,0,0,23853,False,0.0013533
2026-05-21T15:23:16.946461+00:00,openai/gpt-5-nano,api_generate,249,1568,1817,0,0,16524,False,0.0006396500000000001
2026-05-21T15:23:35.110375+00:00,openai/gpt-5-nano,api_generate,268,1426,1694,0,0,16426,False,0.0005838
2026-05-21T15:23:51.618751+00:00,openai/gpt-5-nano,api_generate,263,946,1209,0,0,14914,False,0.00039155000000000006
2026-05-21T15:23:55.754559+00:00,openai/gpt-5-nano,api_generate,267,152,419,0,0,2798,False,7.415000000000001e-05
2026-05-21T15:24:31.291979+00:00,openai/gpt-5-nano,api_generate,261,464,725,0,0,8812,False,0.00019865
2026-05-21T15:24:51.559697+00:00,openai/gpt-5-nano,api_generate,258,1345,1603,0,0,18280,False,0.0005509000000000001
2026-05-21T15:25:27.028146+00:00,openai/gpt-5-nano,api_generate,273,2366,2639,0,0,33957,False,0.00096005
2026-05-21T15:25:55.262467+00:00,openai/gpt-5-nano,api_generate,261,2324,2585,0,0,26798,False,0.0009426500000000001
2026-05-21T15:26:25.152719+00:00,openai/gpt-5-nano,api_generate,269,2927,3196,0,0,28093,False,0.00118425
2026-05-21T15:26:52.325418+00:00,openai/gpt-5-nano,api_generate,274,2201,2475,0,0,25838,False,0.0008940999999999999
2026-05-21T15:27:06.569791+00:00,openai/gpt-5-nano,api_generate,249,1108,1357,0,0,12511,False,0.00045565000000000004
2026-05-21T15:27:29.319268+00:00,openai/gpt-5-nano,api_generate,268,1791,2059,0,0,21158,False,0.0007298000000000001
2026-05-21T15:27:42.787830+00:00,openai/gpt-5-nano,api_generate,263,813,1076,0,0,11718,False,0.00033835000000000007
2026-05-21T15:27:49.459492+00:00,openai/gpt-5-nano,api_generate,267,289,556,0,0,5213,False,0.00012895
2026-05-21T15:28:06.999339+00:00,openai/gpt-5-nano,api_generate,261,527,788,0,0,8149,False,0.00022385000000000002
2026-05-21T15:28:30.294789+00:00,openai/gpt-5-nano,api_generate,258,1492,1750,0,0,20289,False,0.0006097000000000001
2026-05-21T15:28:57.920696+00:00,openai/gpt-5-nano,api_generate,273,1837,2110,0,0,25980,False,0.0007484500000000001
2026-05-21T15:29:20.065538+00:00,openai/gpt-5-nano,api_generate,261,1420,1681,0,0,20603,False,0.0005810500000000001
2026-05-21T15:29:47.992235+00:00,openai/gpt-5-nano,api_generate,269,2032,2301,0,0,26316,False,0.00082625
2026-05-21T15:30:10.524778+00:00,openai/gpt-5-nano,api_generate,274,2602,2876,0,0,21247,False,0.0010545
2026-05-21T15:30:30.612726+00:00,openai/gpt-5-nano,api_generate,249,1276,1525,0,0,18066,False,0.00052285
2026-05-21T15:30:52.238471+00:00,openai/gpt-5-nano,api_generate,268,1461,1729,0,0,18777,False,0.0005978
2026-05-21T15:32:11.002029+00:00,openai/gpt-5-nano,api_generate,263,1075,1338,0,0,77452,False,0.00044315000000000007
2026-05-21T15:32:16.641669+00:00,openai/gpt-5-nano,api_generate,267,198,465,0,0,2343,False,9.255e-05
